id,season,team_1ID,team_2id,team_1seed,team_2seed,team_1score,team_2score,team_1outcome
2004-1210-1242,2004,1242,1242,3,4,79,71,1
2004-1163-1181,2004,1181,1163,1,2,78,79,0
2004-1210-1329,2004,1329,1210,2,3,65,67,0
2004-1163-1210,2004,1210,1210,2,3,82,73,1
2005-1324-1105,2005,1105,1105,16,16,79,69,1
2005-1112-1429,2005,1429,1429,3,14,66,53,1
2005-1130-1335,2005,1335,1335,4,13,85,65,1
2005-1153-1234,2005,1234,1234,7,10,76,64,1
2005-1211-1457,2005,1457,1457,3,14,74,64,1
2005-1228-1192,2005,1192,1192,1,16,67,55,1
2005-1246-1184,2005,1184,1184,2,15,72,64,1
2005-1305-1400,2005,1400,1305,8,9,57,61,0
2005-1328-1310,2005,1310,1310,3,14,84,67,1
2005-1334-1338,2005,1338,1338,8,9,79,71,1
2005-1403-1417,2005,1417,1417,6,11,78,66,1
2005-1412-1261,2005,1261,1412,6,11,68,82,0
2005-1428-1431,2005,1431,1431,6,11,60,54,1
2005-1448-1151,2005,1151,1151,2,15,70,54,1
2005-1449-1285,2005,1285,1285,1,16,88,77,1
2005-1452-1166,2005,1166,1166,7,10,63,61,1
2005-1454-1104,2005,1104,1454,5,12,73,83,0
2005-1137-1242,2005,1242,1137,3,14,63,64,0
2005-1163-1416,2005,1416,1416,2,15,77,71,1
2005-1181-1175,2005,1175,1175,1,16,57,46,1
2005-1196-1325,2005,1325,1325,4,13,67,62,1
2005-1210-1203,2005,1203,1203,5,12,80,68,1
2005-1235-1278,2005,1278,1235,8,9,53,64,0
2005-1257-1418,2005,1418,1418,4,13,68,62,1
2005-1277-1330,2005,1330,1330,5,12,89,81,1
2005-1280-1390,2005,1390,1280,8,9,70,93,0
2005-1301-1150,2005,1150,1301,7,10,63,75,0
2005-1314-1324,2005,1324,1324,1,16,96,68,1
2005-1329-1368,2005,1368,1368,2,15,63,50,1
2005-1356-1388,2005,1388,1388,7,10,65,56,1
2005-1436-1393,2005,1393,1436,4,13,57,60,0
2005-1437-1307,2005,1307,1307,5,12,55,47,1
2005-1458-1320,2005,1320,1320,6,11,57,52,1
2005-1112-1412,2005,1412,1412,3,11,85,63,1
2005-1228-1305,2005,1305,1305,1,9,71,59,1
2005-1246-1153,2005,1153,1153,2,7,69,60,1
2005-1403-1211,2005,1211,1403,3,6,69,71,0
2005-1428-1328,2005,1328,1428,3,6,58,67,0
2005-1449-1334,2005,1334,1334,1,8,97,79,1
2005-1452-1448,2005,1448,1452,2,7,105,111,0
2005-1454-1130,2005,1130,1454,4,12,75,83,0
2005-1181-1280,2005,1280,1280,1,9,63,55,1
2005-1257-1210,2005,1210,1210,4,5,76,54,1
2005-1277-1436,2005,1436,1436,5,13,72,61,1
2005-1301-1163,2005,1163,1301,2,10,62,65,0
2005-1314-1235,2005,1235,1235,1,9,92,65,1
2005-1329-1356,2005,1356,1356,2,7,85,77,1
2005-1437-1196,2005,1196,1437,4,5,65,76,0
2005-1458-1137,2005,1137,1137,6,14,71,62,1
2005-1112-1329,2005,1329,1112,2,3,78,79,0
2005-1228-1454,2005,1454,1454,1,12,77,63,1
2005-1257-1449,2005,1449,1257,1,4,79,93,0
2005-1452-1403,2005,1403,1452,6,7,60,65,0
2005-1246-1428,2005,1428,1428,2,6,62,52,1
2005-1277-1181,2005,1181,1277,1,5,68,78,0
2005-1314-1437,2005,1437,1437,1,5,67,66,1
2005-1458-1301,2005,1301,1301,6,10,65,56,1
2005-1228-1112,2005,1112,1112,1,3,90,89,1
2005-1257-1452,2005,1452,1452,4,7,93,85,1
2005-1277-1246,2005,1246,1277,2,5,88,94,0
2005-1314-1458,2005,1458,1458,1,6,88,82,1
2005-1228-1257,2005,1257,1257,1,4,72,57,1
2005-1314-1277,2005,1277,1277,1,5,87,71,1
2005-1314-1228,2005,1228,1228,1,1,75,70,1
2006-1284-1214,2006,1214,1214,16,16,71,49,1
2006-1104-1266,2006,1266,1104,7,10,85,90,0
2006-1130-1334,2006,1334,1334,4,13,88,76,1
2006-1181-1380,2006,1380,1380,1,16,70,54,1
2006-1196-1375,2006,1375,1375,3,14,76,50,1
2006-1203-1423,2006,1423,1423,8,9,88,85,1
2006-1211-1462,2006,1462,1462,3,14,79,75,1
2006-1228-1102,2006,1102,1102,4,13,78,69,1
2006-1231-1361,2006,1361,1361,6,11,87,83,1
2006-1261-1233,2006,1233,1233,4,13,80,64,1
2006-1285-1305,2006,1305,1285,5,12,79,87,0
2006-1397-1457,2006,1457,1457,2,15,63,61,1
2006-1401-1393,2006,1393,1401,5,12,58,66,0
2006-1417-1125,2006,1125,1125,2,15,78,44,1
2006-1449-1429,2006,1429,1429,5,12,75,61,1
2006-1454-1328,2006,1328,1454,6,11,74,82,0
2006-1455-1371,2006,1371,1371,7,10,86,66,1
2006-1112-1458,2006,1458,1458,8,9,94,75,1
2006-1133-1242,2006,1242,1133,4,13,73,77,0
2006-1137-1116,2006,1116,1137,8,9,55,59,0
2006-1163-1107,2006,1107,1107,1,16,72,59,1
2006-1206-1277,2006,1277,1206,6,11,65,75,0
2006-1207-1320,2006,1320,1320,7,10,54,49,1
2006-1246-1412,2006,1412,1412,8,9,69,64,1
2006-1272-1331,2006,1331,1331,1,16,94,78,1
2006-1301-1143,2006,1143,1301,7,10,52,58,0
2006-1314-1293,2006,1293,1293,3,14,69,65,1
2006-1322-1234,2006,1234,1322,3,14,63,64,0
2006-1326-1172,2006,1172,1172,2,15,70,62,1
2006-1338-1245,2006,1245,1245,5,12,79,64,1
2006-1400-1335,2006,1335,1335,2,15,60,52,1
2006-1437-1284,2006,1284,1284,1,16,58,45,1
2006-1452-1356,2006,1356,1356,6,11,64,46,1
2006-1130-1285,2006,1285,1285,4,12,69,56,1
2006-1181-1203,2006,1203,1203,1,8,74,61,1
2006-1196-1454,2006,1454,1454,3,11,82,60,1
2006-1211-1231,2006,1231,1231,3,6,90,80,1
2006-1261-1401,2006,1401,1401,4,12,58,57,1
2006-1417-1104,2006,1104,1104,2,10,62,59,1
2006-1449-1228,2006,1228,1449,4,5,64,67,0
2006-1455-1397,2006,1397,1455,2,7,73,80,0
2006-1133-1338,2006,1338,1133,5,13,66,72,0
2006-1163-1246,2006,1246,1246,1,8,87,83,1
2006-1206-1314,2006,1314,1206,3,11,60,65,0
2006-1207-1326,2006,1326,1207,2,7,52,70,0
2006-1272-1137,2006,1137,1137,1,9,72,56,1
2006-1400-1301,2006,1301,1301,2,10,75,54,1
2006-1437-1112,2006,1112,1112,1,8,82,78,1
2006-1452-1322,2006,1322,1322,6,14,67,54,1
2006-1261-1181,2006,1181,1261,1,4,54,62,0
2006-1272-1133,2006,1133,1133,1,13,80,64,1
2006-1400-1452,2006,1452,1452,2,6,74,71,1
2006-1417-1211,2006,1211,1211,2,3,73,71,1
2006-1163-1449,2006,1449,1449,1,5,98,92,1
2006-1196-1207,2006,1207,1207,3,7,57,53,1
2006-1206-1455,2006,1455,1206,7,11,55,63,0
2006-1437-1130,2006,1130,1130,1,4,60,59,1
2006-1261-1400,2006,1400,1261,2,4,60,70,0
2006-1417-1272,2006,1272,1417,1,2,45,50,0
2006-1196-1437,2006,1437,1196,1,3,62,75,0
2006-1206-1163,2006,1163,1206,1,11,84,86,0
2006-1196-1206,2006,1206,1206,3,11,73,58,1
2006-1417-1261,2006,1261,1261,2,4,59,45,1
2006-1196-1417,2006,1417,1196,2,3,57,73,0
2007-1310-1197,2007,1197,1197,16,16,77,69,1
2007-1130-1403,2007,1403,1403,7,10,84,75,1
2007-1139-1330,2007,1330,1330,5,12,57,46,1
2007-1207-1125,2007,1125,1125,2,15,80,55,1
2007-1231-1211,2007,1211,1211,7,10,70,57,1
2007-1257-1390,2007,1390,1390,6,11,78,58,1
2007-1268-1172,2007,1172,1172,4,13,82,70,1
2007-1277-1266,2007,1266,1277,8,9,49,61,0
2007-1314-1184,2007,1184,1184,1,16,86,65,1
2007-1326-1148,2007,1148,1148,1,16,78,57,1
2007-1338-1460,2007,1460,1460,3,14,79,58,1
2007-1401-1335,2007,1335,1335,3,14,68,52,1
2007-1417-1451,2007,1451,1451,2,15,70,42,1
2007-1433-1181,2007,1181,1433,6,11,77,79,0
2007-1435-1203,2007,1203,1203,6,11,77,44,1
2007-1450-1331,2007,1331,1331,3,14,70,54,1
2007-1462-1140,2007,1140,1462,8,9,77,79,0
2007-1196-1238,2007,1238,1238,1,16,112,69,1
2007-1242-1310,2007,1310,1310,1,16,107,67,1
2007-1246-1437,2007,1437,1437,8,9,67,58,1
2007-1272-1317,2007,1317,1317,2,15,73,58,1
2007-1305-1166,2007,1166,1166,7,10,77,71,1
2007-1332-1275,2007,1275,1275,3,14,58,56,1
2007-1345-1112,2007,1112,1345,8,9,63,72,0
2007-1356-1221,2007,1221,1221,4,13,61,51,1
2007-1397-1253,2007,1253,1253,5,12,121,86,1
2007-1400-1308,2007,1308,1308,4,13,79,67,1
2007-1424-1210,2007,1210,1210,7,10,67,63,1
2007-1425-1116,2007,1116,1116,5,12,77,60,1
2007-1438-1107,2007,1107,1107,4,13,84,57,1
2007-1439-1228,2007,1228,1228,5,12,54,52,1
2007-1457-1323,2007,1323,1457,6,11,64,74,0
2007-1458-1394,2007,1394,1394,2,15,76,63,1
2007-1139-1268,2007,1268,1139,4,5,59,62,0
2007-1207-1130,2007,1130,1130,2,7,62,55,1
2007-1314-1277,2007,1277,1277,1,9,81,67,1
2007-1326-1462,2007,1462,1462,1,9,78,71,1
2007-1338-1433,2007,1433,1433,3,11,84,79,1
2007-1401-1257,2007,1257,1257,3,6,72,69,1
2007-1417-1231,2007,1231,1231,2,7,54,49,1
2007-1435-1450,2007,1450,1435,3,6,74,78,0
2007-1196-1345,2007,1345,1345,1,9,74,67,1
2007-1242-1246,2007,1246,1246,1,8,88,76,1
2007-1272-1305,2007,1305,1305,2,7,78,62,1
2007-1332-1457,2007,1457,1457,3,11,75,61,1
2007-1356-1439,2007,1439,1439,4,5,63,48,1
2007-1397-1438,2007,1438,1397,4,5,74,77,0
2007-1424-1458,2007,1458,1424,2,7,68,74,0
2007-1425-1400,2007,1400,1425,4,5,68,87,0
2007-1242-1356,2007,1356,1356,1,4,61,58,1
2007-1272-1401,2007,1401,1401,2,3,65,64,1
2007-1326-1397,2007,1397,1397,1,5,85,84,1
2007-1417-1338,2007,1338,1338,2,3,64,55,1
2007-1196-1139,2007,1139,1139,1,5,65,57,1
2007-1207-1435,2007,1435,1435,2,6,66,65,1
2007-1314-1425,2007,1425,1425,1,5,74,64,1
2007-1332-1424,2007,1424,1424,3,7,76,72,1
2007-1326-1272,2007,1272,1272,1,2,92,76,1
2007-1417-1242,2007,1242,1417,1,2,55,68,0
2007-1196-1332,2007,1332,1332,1,3,85,77,1
2007-1207-1314,2007,1314,1207,1,2,84,96,0
2007-1196-1417,2007,1417,1417,1,2,76,66,1
2007-1326-1207,2007,1207,1207,1,2,67,60,1
2007-1196-1326,2007,1326,1326,1,1,84,75,1
2008-1291-1164,2008,1164,1164,16,16,69,60,1
2008-1181-1125,2008,1125,1125,2,15,71,70,1
2008-1242-1340,2008,1340,1340,1,16,85,61,1
2008-1243-1425,2008,1425,1243,6,11,67,80,0
2008-1266-1246,2008,1246,1246,6,11,74,66,1
2008-1277-1396,2008,1396,1396,5,12,72,61,1
2008-1323-1206,2008,1206,1206,5,12,68,50,1
2008-1338-1331,2008,1331,1331,4,13,82,63,1
2008-1345-1124,2008,1124,1124,6,11,90,79,1
2008-1390-1165,2008,1165,1165,3,14,77,53,1
2008-1401-1140,2008,1140,1401,8,9,62,67,0
2008-1417-1290,2008,1290,1290,1,16,70,29,1
2008-1424-1245,2008,1245,1245,8,9,71,58,1
2008-1450-1457,2008,1457,1457,4,13,71,40,1
2008-1452-1112,2008,1112,1112,7,10,75,65,1
2008-1458-1168,2008,1168,1168,3,14,71,56,1
2008-1462-1208,2008,1208,1208,3,14,73,61,1
2008-1116-1231,2008,1231,1116,8,9,72,86,0
2008-1139-1375,2008,1375,1375,7,10,81,61,1
2008-1172-1211,2008,1211,1172,7,10,76,82,0
2008-1207-1420,2008,1420,1420,2,15,66,47,1
2008-1257-1129,2008,1129,1129,3,14,79,61,1
2008-1272-1426,2008,1426,1426,1,16,87,63,1
2008-1274-1388,2008,1388,1388,7,10,78,64,1
2008-1280-1332,2008,1332,1332,8,9,76,69,1
2008-1314-1291,2008,1291,1291,1,16,113,74,1
2008-1328-1386,2008,1386,1386,6,11,72,64,1
2008-1360-1163,2008,1163,1360,4,13,69,70,0
2008-1373-1435,2008,1435,1373,4,13,62,83,0
2008-1397-1110,2008,1110,1110,2,15,72,57,1
2008-1400-1122,2008,1122,1122,2,15,74,54,1
2008-1437-1155,2008,1155,1437,5,12,69,75,0
2008-1443-1179,2008,1179,1443,5,12,99,101,0
2008-1242-1424,2008,1424,1424,1,8,75,56,1
2008-1277-1338,2008,1338,1277,4,5,54,65,0
2008-1390-1266,2008,1266,1266,3,6,82,81,1
2008-1417-1401,2008,1401,1401,1,9,51,49,1
2008-1450-1323,2008,1323,1323,4,5,61,41,1
2008-1452-1181,2008,1181,1452,2,7,67,73,0
2008-1458-1243,2008,1243,1243,3,11,72,55,1
2008-1462-1345,2008,1345,1345,3,6,85,78,1
2008-1172-1207,2008,1207,1172,2,10,70,74,0
2008-1257-1328,2008,1328,1328,3,6,78,48,1
2008-1272-1280,2008,1280,1280,1,8,77,74,1
2008-1314-1116,2008,1116,1116,1,9,108,77,1
2008-1397-1139,2008,1139,1139,2,7,76,71,1
2008-1400-1274,2008,1274,1274,2,7,75,72,1
2008-1437-1373,2008,1373,1373,12,13,84,72,1
2008-1443-1360,2008,1360,1360,12,13,72,63,1
2008-1257-1397,2008,1397,1257,2,3,60,79,0
2008-1314-1450,2008,1450,1450,1,4,68,47,1
2008-1417-1443,2008,1443,1443,1,12,88,78,1
2008-1462-1452,2008,1452,1452,3,7,79,75,1
2008-1172-1458,2008,1458,1172,3,10,56,73,0
2008-1242-1437,2008,1437,1437,1,12,72,57,1
2008-1272-1277,2008,1277,1277,1,5,92,74,1
2008-1400-1390,2008,1390,1390,2,3,82,62,1
2008-1314-1257,2008,1257,1257,1,3,83,73,1
2008-1417-1462,2008,1462,1462,1,3,76,57,1
2008-1242-1172,2008,1172,1172,1,10,59,57,1
2008-1272-1400,2008,1400,1400,1,2,85,67,1
2008-1242-1314,2008,1314,1314,1,1,84,66,1
2008-1272-1417,2008,1417,1417,1,1,78,63,1
2008-1242-1272,2008,1272,1272,1,1,75,68,1
2009-1287-1106,2009,1106,1106,16,16,58,43,1
2009-1163-1151,2009,1151,1151,1,16,103,47,1
2009-1181-1127,2009,1127,1127,2,15,86,62,1
2009-1211-1103,2009,1103,1103,4,13,77,64,1
2009-1261-1139,2009,1139,1139,8,9,75,71,1
2009-1268-1143,2009,1143,1268,7,10,71,84,0
2009-1272-1169,2009,1169,1169,2,15,81,70,1
2009-1276-1155,2009,1155,1276,7,10,59,62,0
2009-1314-1347,2009,1347,1347,1,16,101,58,1
2009-1328-1288,2009,1288,1288,2,15,82,54,1
2009-1345-1320,2009,1320,1320,5,12,61,56,1
2009-1400-1278,2009,1278,1278,7,10,76,62,1
2009-1401-1140,2009,1140,1401,8,9,66,79,0
2009-1417-1433,2009,1433,1433,6,11,65,64,1
2009-1437-1110,2009,1110,1110,3,14,80,67,1
2009-1443-1228,2009,1228,1443,5,12,72,76,0
2009-1449-1280,2009,1280,1280,4,13,71,58,1
2009-1112-1428,2009,1428,1112,5,12,71,84,0
2009-1113-1396,2009,1396,1396,6,11,66,57,1
2009-1156-1448,2009,1448,1156,4,13,69,84,0
2009-1173-1452,2009,1452,1173,6,11,60,68,0
2009-1242-1295,2009,1295,1295,3,14,84,74,1
2009-1257-1287,2009,1287,1287,1,16,74,54,1
2009-1266-1429,2009,1429,1429,6,11,58,57,1
2009-1277-1352,2009,1352,1352,2,15,77,62,1
2009-1281-1165,2009,1165,1165,3,14,78,59,1
2009-1329-1397,2009,1397,1397,8,9,77,75,1
2009-1338-1190,2009,1190,1190,1,16,72,62,1
2009-1373-1326,2009,1326,1373,8,9,72,74,0
2009-1393-1372,2009,1372,1372,3,14,59,44,1
2009-1425-1130,2009,1130,1425,7,10,55,72,0
2009-1458-1199,2009,1199,1458,5,12,59,61,0
2009-1462-1340,2009,1340,1340,4,13,77,59,1
2009-1163-1401,2009,1401,1401,1,9,92,66,1
2009-1181-1400,2009,1400,1400,2,7,74,69,1
2009-1211-1443,2009,1443,1443,4,12,83,81,1
2009-1272-1268,2009,1268,1268,2,10,89,70,1
2009-1314-1261,2009,1261,1261,1,8,84,70,1
2009-1328-1276,2009,1276,1276,2,10,73,63,1
2009-1345-1449,2009,1449,1345,4,5,74,76,0
2009-1437-1417,2009,1417,1417,3,6,89,69,1
2009-1112-1156,2009,1156,1156,12,13,71,57,1
2009-1242-1173,2009,1173,1173,3,11,60,43,1
2009-1257-1373,2009,1373,1373,1,9,79,72,1
2009-1277-1425,2009,1425,1425,2,10,74,69,1
2009-1281-1266,2009,1266,1266,3,6,83,79,1
2009-1338-1329,2009,1329,1329,1,8,84,76,1
2009-1393-1113,2009,1113,1113,3,6,78,67,1
2009-1462-1458,2009,1458,1458,4,12,60,49,1
2009-1163-1345,2009,1345,1345,1,5,72,60,1
2009-1281-1272,2009,1272,1281,2,3,91,102,0
2009-1338-1462,2009,1462,1462,1,4,60,55,1
2009-1437-1181,2009,1181,1437,2,3,54,77,0
2009-1257-1112,2009,1112,1112,1,12,103,64,1
2009-1277-1242,2009,1242,1242,2,3,67,62,1
2009-1314-1211,2009,1211,1211,1,4,98,77,1
2009-1328-1393,2009,1393,1393,2,3,84,71,1
2009-1163-1281,2009,1281,1281,1,3,82,75,1
2009-1437-1338,2009,1338,1437,1,3,76,78,0
2009-1277-1257,2009,1257,1277,1,2,52,64,0
2009-1314-1328,2009,1328,1328,1,2,72,60,1
2009-1277-1163,2009,1163,1277,1,2,73,82,0
2009-1314-1437,2009,1437,1437,1,3,83,69,1
2009-1314-1277,2009,1277,1277,1,2,89,72,1
2010-1115-1457,2010,1457,1457,16,16,61,44,1
2010-1124-1358,2010,1358,1358,3,14,68,59,1
2010-1139-1431,2010,1431,1431,5,12,77,59,1
2010-1140-1196,2010,1196,1196,7,10,99,92,1
2010-1242-1250,2010,1250,1250,1,16,90,74,1
2010-1243-1317,2010,1317,1317,2,15,82,62,1
2010-1246-1190,2010,1190,1190,1,16,100,71,1
2010-1293-1435,2010,1435,1293,4,13,65,66,0
2010-1307-1285,2010,1285,1285,3,14,62,57,1
2010-1320-1424,2010,1424,1320,8,9,66,69,0
2010-1325-1207,2010,1207,1325,3,14,83,97,0
2010-1330-1323,2010,1323,1330,6,11,50,51,0
2010-1388-1350,2010,1350,1388,7,10,71,80,0
2010-1397-1361,2010,1361,1361,6,11,62,59,1
2010-1437-1352,2010,1352,1352,2,15,73,70,1
2010-1448-1400,2010,1400,1448,8,9,80,81,0
2010-1449-1266,2010,1266,1449,6,11,78,80,0
2010-1143-1257,2010,1257,1257,8,9,77,62,1
2010-1165-1396,2010,1396,1165,5,12,65,78,0
2010-1181-1115,2010,1115,1115,1,16,73,44,1
2010-1210-1329,2010,1329,1210,7,10,59,64,0
2010-1211-1199,2010,1199,1199,8,9,67,60,1
2010-1268-1222,2010,1222,1222,4,13,89,77,1
2010-1277-1308,2010,1308,1308,5,12,70,67,1
2010-1281-1155,2010,1155,1281,7,10,78,86,0
2010-1326-1364,2010,1364,1364,2,15,68,51,1
2010-1338-1324,2010,1324,1324,3,14,89,66,1
2010-1345-1373,2010,1373,1373,4,13,72,64,1
2010-1393-1436,2010,1436,1436,1,16,79,56,1
2010-1401-1429,2010,1429,1429,5,12,69,53,1
2010-1452-1288,2010,1288,1288,2,15,77,50,1
2010-1458-1459,2010,1459,1459,4,13,53,49,1
2010-1462-1278,2010,1278,1278,6,11,65,54,1
2010-1124-1330,2010,1330,1330,3,11,76,68,1
2010-1139-1293,2010,1293,1293,5,13,54,52,1
2010-1243-1140,2010,1140,1140,2,7,84,72,1
2010-1246-1448,2010,1448,1448,1,9,90,60,1
2010-1320-1242,2010,1242,1320,1,9,67,69,0
2010-1388-1437,2010,1437,1388,2,10,68,75,0
2010-1397-1325,2010,1325,1325,6,14,83,68,1
2010-1449-1307,2010,1307,1449,3,11,64,82,0
2010-1165-1458,2010,1458,1165,4,12,69,87,0
2010-1181-1143,2010,1143,1143,1,8,68,53,1
2010-1277-1268,2010,1268,1277,4,5,83,85,0
2010-1326-1210,2010,1210,1210,2,10,75,66,1
2010-1345-1401,2010,1401,1401,4,5,63,61,1
2010-1393-1211,2010,1211,1211,1,8,87,65,1
2010-1452-1281,2010,1281,1281,2,10,68,59,1
